id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|'ग्रीन GDP' (Green GDP) में किसकी लागत को राष्ट्रीय आय से घटाया जाता है?|कर्मचारियों का वेतन|सरकारी खर्च|पर्यावरण ह्रास और संसाधन की कमी की लागत|केवल घिसावट|पर्यावरण ह्रास और संसाधन की कमी की लागत|MJC-3_U1_T1.6|30
2|ग्रीन GDP का मुख्य उद्देश्य क्या है?|केवल नाममात्र GDP को बढ़ाना|टैक्स दरें बढ़ाना|सतत आर्थिक विकास का सही आकलन करना|केवल विदेशी व्यापार मापना|सतत आर्थिक विकास का सही आकलन करना|MJC-3_U1_T1.6|30
3|ग्रीन GDP का सूत्र क्या है?|GDP - NFIA|GDP - घिसावट|GDP - पर्यावरण लागत|GDP + सब्सिडी|GDP - पर्यावरण लागत|MJC-3_U1_T1.6|30
4|'संसाधन की कमी' (Resource Depletion) का क्या अर्थ है, जिसे ग्रीन GDP में घटाया जाता है?|कर्मचारियों की कमी|पूंजीगत वस्तुओं की घिसावट|पेट्रोलियम, जंगल जैसे प्राकृतिक संसाधनों का अत्यधिक उपयोग|केवल स्टॉक में कमी|पेट्रोलियम, जंगल जैसे प्राकृतिक संसाधनों का अत्यधिक उपयोग|MJC-3_U1_T1.6|30
5|निम्न में से कौन सा ग्रीन GDP का एक घटक नहीं है?|वायु प्रदूषण से होने वाला नुकसान|तेल भंडार का क्षरण|अंतिम वस्तुओं का उत्पादन|शुद्ध अप्रत्यक्ष कर|शुद्ध अप्रत्यक्ष कर|MJC-3_U1_T1.6|30
6|पारंपरिक GDP की एक प्रमुख सीमा क्या है?|यह केवल सेवाओं को मापता है|यह गैर-बाज़ार गतिविधियों (जैसे गृहकार्य) को शामिल नहीं करता|यह केवल सरकारी खर्च को मापता है|यह केवल निवेश को मापता है|यह गैर-बाज़ार गतिविधियों (जैसे गृहकार्य) को शामिल नहीं करता|MJC-3_U1_T1.6|30
7|GDP, 'आय असमानता' (Income Inequality) के बारे में क्या दर्शाता है?|GDP सीधे तौर पर आय असमानता को नहीं मापता|GDP बढ़ने से असमानता हमेशा कम होती है|GDP घटने से असमानता हमेशा बढ़ती है|GDP केवल असमानता मापता है|GDP सीधे तौर पर आय असमानता को नहीं मापता|MJC-3_U1_T1.6|30
8|GDP में वृद्धि के बावजूद 'सामाजिक कल्याण' (Social Welfare) कम क्यों हो सकता है?|क्योंकि उत्पादन बढ़ रहा है|क्योंकि प्रदूषण और भीड़ जैसी नकारात्मक बाहरीताएँ बढ़ रही हैं|क्योंकि सरकारी खर्च कम हो गया है|क्योंकि निर्यात बढ़ गया है|क्योंकि प्रदूषण और भीड़ जैसी नकारात्मक बाहरीताएँ बढ़ रही हैं|MJC-3_U1_T1.6|30
9|GDP की आलोचना क्यों की जाती है?|क्योंकि यह फुर्सत के समय (Leisure Time) के मूल्य को शामिल नहीं करता|क्योंकि यह केवल नाममात्र मूल्य मापता है|क्योंकि यह निर्यात को बाहर रखता है|क्योंकि यह केवल लाभ मापता है|क्योंकि यह फुर्सत के समय (Leisure Time) के मूल्य को शामिल नहीं करता|MJC-3_U1_T1.6|30
10|'ग्रीन एकाउंटिंग' (Green Accounting) का मुख्य उद्देश्य क्या है?|राष्ट्रीय आय लेखांकन में पर्यावरण को एकीकृत करना|केवल सरकारी खाते बनाना|केवल निजी कंपनियों का लाभ मापना|जीडीपी को पूरी तरह से त्याग देना|राष्ट्रीय आय लेखांकन में पर्यावरण को एकीकृत करना|MJC-3_U1_T1.6|30
11|'गैर-बाज़ार गतिविधियाँ' (Non-market Activities) जैसे कि स्वयंसेवा, GDP में क्यों शामिल नहीं होती हैं?|क्योंकि उनका कोई मौद्रिक मूल्य नहीं होता|क्योंकि वे गैर-कानूनी हैं|क्योंकि वे केवल सेवाओं से संबंधित हैं|क्योंकि उनका मूल्यह्रास अधिक होता है|क्योंकि उनका कोई मौद्रिक मूल्य नहीं होता|MJC-3_U1_T1.6|30
12|निम्न में से कौन सा GDP की सीमा को दर्शाता है?|उत्पादन क्षमता में वृद्धि|उच्च जीवन प्रत्याशा|अपराध दर में वृद्धि|बेरोज़गारी दर में कमी|अपराध दर में वृद्धि|MJC-3_U1_T1.6|30
13|'सामाजिक लेखांकन' (Social Accounting) का उद्देश्य क्या है?|केवल सरकारी खर्च का ट्रैक रखना|अर्थव्यवस्था के प्रदर्शन को अधिक समग्र (holistic) रूप से मापना|केवल पर्यावरण लागत का आकलन|गरीबी रेखा निर्धारित करना|अर्थव्यवस्था के प्रदर्शन को अधिक समग्र (holistic) रूप से मापना|MJC-3_U1_T1.6|30
14|यदि एक देश में तेल का भंडार तेज़ी से समाप्त हो रहा है, तो ग्रीन GDP पर क्या प्रभाव पड़ेगा?|यह पारंपरिक GDP से अधिक होगा|यह पारंपरिक GDP से कम होगा|यह अपरिवर्तित रहेगा|यह NFIA पर निर्भर करेगा|यह पारंपरिक GDP से कम होगा|MJC-3_U1_T1.6|30
15|किस कारक को GDP एक 'लागत' के बजाय 'उत्पादन' के रूप में देखता है?|शिक्षा|प्रदूषण को साफ करने का व्यय|स्वास्थ्य|निवेश|प्रदूषण को साफ करने का व्यय|MJC-3_U1_T1.6|30
16|'हरित लेखांकन' (Green Accounting) के तहत, लकड़ी काटने वाली कंपनी को क्या करना होगा?|केवल लाभ मापना|ईंधन की लागत घटाना|पर्यावरण की बहाली की लागत को जोड़ना|जंगल के नुकसान की लागत को अपने खातों में शामिल करना|जंगल के नुकसान की लागत को अपने खातों में शामिल करना|MJC-3_U1_T1.6|30
17|GDP की एक और सीमा क्या है?|यह केवल घरेलू सीमा के भीतर मापा जाता है|यह उत्पादन की गुणवत्ता में सुधार को ध्यान में नहीं रखता|यह घिसावट को बाहर रखता है|यह NFIA को शामिल करता है|यह उत्पादन की गुणवत्ता में सुधार को ध्यान में नहीं रखता|MJC-3_U1_T1.6|30
18|'मानव विकास सूचकांक' (Human Development Index - HDI) किस पर जोर देता है, जो GDP नहीं करता?|आर्थिक वृद्धि|आय असमानता|शिक्षा और स्वास्थ्य जैसे सामाजिक पहलू|सैन्य खर्च|शिक्षा और स्वास्थ्य जैसे सामाजिक पहलू|MJC-3_U1_T1.6|30
19|GDP की गणना में 'काले धन की अर्थव्यवस्था' (Black Money/Underground Economy) को क्या किया जाता है?|पूरी तरह शामिल किया जाता है|पूरी तरह बाहर रखा जाता है|केवल अप्रत्यक्ष कर शामिल किए जाते हैं|केवल सरकारी सब्सिडी शामिल की जाती है|पूरी तरह बाहर रखा जाता है|MJC-3_U1_T1.6|30
20|किस अवधारणा को 'शुद्ध आर्थिक कल्याण का माप' (Measure of Economic Welfare - MEW) के नाम से भी जाना जाता है?|GDP|GNP|सामाजिक लेखांकन (Social Accounting)|ग्रीन GDP|सामाजिक लेखांकन (Social Accounting)|MJC-3_U1_T1.6|30
21|ग्रीन GDP को प्राप्त करने के लिए GDP में से क्या घटाया जाता है?|पूंजीगत वस्तुओं की घिसावट|पर्यावरण की घिसावट और प्राकृतिक संसाधनों की कमी|केवल सरकारी टैक्स|केवल निजी उपभोग|पर्यावरण की घिसावट और प्राकृतिक संसाधनों की कमी|MJC-3_U1_T1.6|30
22|किस प्रकार के विकास को ग्रीन GDP द्वारा प्रोत्साहित किया जाता है?|अनियंत्रित विकास|तेज, अल्पावधि विकास|सतत विकास (Sustainable Development)|केवल औद्योगिक विकास|सतत विकास (Sustainable Development)|MJC-3_U1_T1.6|30
23|'नकारात्मक बाहरीताएँ' (Negative Externalities) क्या हैं?|केवल निर्यात में कमी|उत्पादन या खपत के ऐसे नकारात्मक प्रभाव, जिनके लिए कोई भुगतान नहीं होता|केवल सरकारी ऋण|उच्च ब्याज दरें|उत्पादन या खपत के ऐसे नकारात्मक प्रभाव, जिनके लिए कोई भुगतान नहीं होता|MJC-3_U1_T1.6|30
24|पारंपरिक GDP इन नकारात्मक बाहरीताओं को कैसे देखता है?|लागत के रूप में|आय के रूप में|अप्रभावी|शामिल नहीं|शामिल नहीं|MJC-3_U1_T1.6|30
