id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|जोखिम न्यूनीकरण (Risk Reduction) का मुख्य उद्देश्य क्या है?|केवल प्रतिक्रिया को बढ़ाना|आपदाओं के नकारात्मक प्रभावों को कम करना|केवल पुनर्प्राप्ति में देरी करना|जोखिमों को पूरी तरह से अनदेखा करना|आपदाओं के नकारात्मक प्रभावों को कम करना|AEC-3_U2_T2.2|30
2|जोखिम न्यूनीकरण में कौन सा घटक शामिल है?|केवल भेद्यता बढ़ाना|खतरा (Hazard), भेद्यता (Vulnerability) और क्षमता (Capacity) में सुधार|केवल क्षमता कम करना|केवल जोखिम स्वीकार करना|खतरा (Hazard), भेद्यता (Vulnerability) और क्षमता (Capacity) में सुधार|AEC-3_U2_T2.2|30
3|आपदा जोखिम न्यूनीकरण (DRR) किस प्रकार की प्रक्रिया है?|अल्पकालिक और आकस्मिक|दीर्घकालिक, व्यवस्थित और सतत प्रक्रिया|केवल प्रतिक्रिया-उन्मुख|केवल एक ही बार की गतिविधि|दीर्घकालिक, व्यवस्थित और सतत प्रक्रिया|AEC-3_U2_T2.2|30
4|जोखिम न्यूनीकरण का सबसे महत्वपूर्ण पहलू क्या है?|केवल कानून बनाना|आपदा से पहले शमन (Mitigation) और तैयारी (Preparedness) पर ध्यान केंद्रित करना|केवल आपदा के बाद काम करना|केवल गपशप करना|आपदा से पहले शमन (Mitigation) और तैयारी (Preparedness) पर ध्यान केंद्रित करना|AEC-3_U2_T2.2|30
5|शमन (Mitigation) का क्या अर्थ है?|आपदा के बाद प्रतिक्रिया|जोखिमों को पूरी तरह से समाप्त करना|आपदा के संभावित नकारात्मक प्रभावों को कम करने के उपाय|केवल पुनर्प्राप्ति|आपदा के संभावित नकारात्मक प्रभावों को कम करने के उपाय|AEC-3_U2_T2.2|30
6|संरचनात्मक शमन उपाय (Structural Mitigation Measures) का एक उदाहरण क्या है?|केवल जागरूकता|भूकंप प्रतिरोधी भवन निर्माण (Earthquake-resistant construction)|केवल चेतावनी प्रणाली|जनता को शिक्षित करना|भूकंप प्रतिरोधी भवन निर्माण (Earthquake-resistant construction)|AEC-3_U2_T2.2|30
7|गैर-संरचनात्मक शमन उपाय (Non-structural Mitigation Measures) का एक उदाहरण क्या है?|बांध निर्माण|भूमि उपयोग योजना (Land-use planning) और भवन कोड|केवल पुल बनाना|केवल पेड़ों को काटना|भूमि उपयोग योजना (Land-use planning) और भवन कोड|AEC-3_U2_T2.2|30
8|जोखिम न्यूनीकरण में 'भेद्यता न्यूनीकरण' (Vulnerability Reduction) का क्या अर्थ है?|केवल खतरा कम करना|समुदाय की कमजोरियों को कम करना, जैसे खराब स्वास्थ्य और गरीबी|केवल क्षमता बढ़ाना|केवल प्रतिक्रिया बढ़ाना|समुदाय की कमजोरियों को कम करना, जैसे खराब स्वास्थ्य और गरीबी|AEC-3_U2_T2.2|30
9|क्षमता निर्माण (Capacity Building) का मुख्य कार्य क्या है?|केवल पैसा देना|समुदाय की अपनी आपदाओं से निपटने की शक्ति और संसाधनों को बढ़ाना|केवल आपदाओं को बढ़ाना|केवल कानून तोड़ना|समुदाय की अपनी आपदाओं से निपटने की शक्ति और संसाधनों को बढ़ाना|AEC-3_U2_T2.2|30
10|जोखिम न्यूनीकरण में 'सामाजिक शमन' (Social Mitigation) के तहत क्या शामिल है?|केवल निर्माण|जन जागरूकता कार्यक्रम और शिक्षा|केवल आग लगाना|केवल सूखा|जन जागरूकता कार्यक्रम और शिक्षा|AEC-3_U2_T2.2|30
11|एक समुदाय की 'कमजोरियों' (Weaknesses) को पहचानना जोखिम न्यूनीकरण में क्यों आवश्यक है?|केवल उन्हें उजागर करने के लिए|शमन और तैयारी के प्रयासों को प्राथमिकता देने के लिए|यह अनावश्यक है|केवल खतरा बढ़ाने के लिए|शमन और तैयारी के प्रयासों को प्राथमिकता देने के लिए|AEC-3_U2_T2.2|30
12|जोखिम न्यूनीकरण में 'विकास योजना' (Development Planning) का क्या महत्व है?|यह अनावश्यक है|विकास परियोजनाओं में आपदा जोखिमों को एकीकृत करना|केवल विकास को अनदेखा करना|केवल पुरानी योजनाएँ|विकास परियोजनाओं में आपदा जोखिमों को एकीकृत करना|AEC-3_U2_T2.2|30
13|जोखिम न्यूनीकरण के लिए 'शुरुआती चेतावनी प्रणाली' (Early Warning Systems) का विकास किस उपाय के तहत आता है?|शमन (Mitigation)|तैयारी (Preparedness)|पुनर्प्राप्ति (Recovery)|केवल प्रतिक्रिया|तैयारी (Preparedness)|AEC-3_U2_T2.2|30
14|बाढ़ जोखिम न्यूनीकरण के लिए 'तटबंधों' (Embankments) का निर्माण किस प्रकार का उपाय है?|गैर-संरचनात्मक शमन|संरचनात्मक शमन|क्षमता निर्माण|केवल पुनर्प्राप्ति|संरचनात्मक शमन|AEC-3_U2_T2.2|30
15|जोखिम न्यूनीकरण में 'पर्यावरण प्रबंधन' (Environmental Management) का क्या योगदान है?|केवल प्रदूषण|वनों की कटाई को रोकना और जल निकासी में सुधार करना|केवल आग लगाना|केवल सूखा|वनों की कटाई को रोकना और जल निकासी में सुधार करना|AEC-3_U2_T2.2|30
16|जोखिम न्यूनीकरण के प्रयास 'लागत-लाभ विश्लेषण' (Cost-Benefit Analysis) पर क्यों आधारित होने चाहिए?|केवल महंगा|यह सुनिश्चित करने के लिए कि निवेश से होने वाला लाभ जोखिम से होने वाले संभावित नुकसान से अधिक हो|यह अनावश्यक है|केवल कम लागत|यह सुनिश्चित करने के लिए कि निवेश से होने वाला लाभ जोखिम से होने वाले संभावित नुकसान से अधिक हो|AEC-3_U2_T2.2|30
17|जोखिम न्यूनीकरण में 'जोखिम हस्तांतरण' (Risk Transfer) का एक उदाहरण क्या है?|केवल गपशप करना|बीमा (Insurance) और पुन:बीमा (Reinsurance)|केवल निर्माण|केवल शिक्षा|बीमा (Insurance) और पुन:बीमा (Reinsurance)|AEC-3_U2_T2.2|30
18|जोखिम न्यूनीकरण के लिए समुदाय को 'प्रशिक्षित' (Trained) करना किस उपाय के तहत आता है?|संरचनात्मक शमन|क्षमता निर्माण और तैयारी|केवल प्रतिक्रिया|केवल पुनर्प्राप्ति|क्षमता निर्माण और तैयारी|AEC-3_U2_T2.2|30
19|जोखिम न्यूनीकरण में 'आवश्यक सेवाओं' (Critical Services) की सुरक्षा क्यों आवश्यक है?|केवल पैसा बचाना|यह सुनिश्चित करने के लिए कि प्रतिक्रिया के दौरान अस्पताल और संचार कार्य करते रहें|यह अनावश्यक है|केवल निर्माण|यह सुनिश्चित करने के लिए कि प्रतिक्रिया के दौरान अस्पताल और संचार कार्य करते रहें|AEC-3_U2_T2.2|30
20|जोखिम न्यूनीकरण में 'भेद्यता' को कम करने का एक 'आर्थिक' तरीका क्या है?|केवल निर्माण|सूक्ष्म-वित्त (Microfinance) और आजीविका विविधीकरण|केवल आग लगाना|केवल कानून तोड़ना|सूक्ष्म-वित्त (Microfinance) और आजीविका विविधीकरण|AEC-3_U2_T2.2|30
21|आपदा के बाद पुनर्प्राप्ति (Recovery) चरण में जोखिम न्यूनीकरण कैसे लागू किया जाता है?|केवल पुराना घर|'पहले से बेहतर निर्माण' (Build Back Better) के सिद्धांत को लागू करके|केवल गपशप|केवल समस्याओं को अनदेखा करना|'पहले से बेहतर निर्माण' (Build Back Better) के सिद्धांत को लागू करके|AEC-3_U2_T2.2|30
22|जोखिम न्यूनीकरण में 'कमज़ोर समूहों' (Vulnerable Groups) पर ध्यान केंद्रित करना क्यों महत्वपूर्ण है?|यह अनावश्यक है|उन्हें सबसे अधिक जोखिम होता है, इसलिए उन्हें लक्षित सहायता की आवश्यकता होती है|केवल उन्हें अनदेखा करना|केवल एक ही समूह|उन्हें सबसे अधिक जोखिम होता है, इसलिए उन्हें लक्षित सहायता की आवश्यकता होती|AEC-3_U2_T2.2|30
23|शमन के उपाय किस जोखिम को कम करने पर केंद्रित होते हैं?|केवल पुनर्प्राप्ति जोखिम|दीर्घकालिक और भविष्य के जोखिम|केवल प्रतिक्रिया जोखिम|केवल वर्तमान जोखिम|दीर्घकालिक और भविष्य के जोखिम|AEC-3_U2_T2.2|30
24|जोखिम न्यूनीकरण के लिए 'जागरूकता' (Awareness) बढ़ाना क्यों आवश्यक है?|केवल प्रचार|समुदाय को जोखिमों को समझने और उन्हें स्वीकार करने के लिए प्रेरित करना|केवल सोने के लिए|यह अनावश्यक है|समुदाय को जोखिमों को समझने और उन्हें स्वीकार करने के लिए प्रेरित करना|AEC-3_U2_T2.2|30
25|चक्रवात जोखिम न्यूनीकरण के लिए 'तटीय वनस्पति' (Coastal Vegetation) क्यों महत्वपूर्ण है?|केवल सुंदरता|तूफान वृद्धि (Storm Surge) के प्रभाव को कम करने के लिए प्राकृतिक अवरोध के रूप में कार्य करना|केवल आग लगाना|केवल सड़क बनाना|तूफान वृद्धि (Storm Surge) के प्रभाव को कम करने के लिए प्राकृतिक अवरोध के रूप में कार्य करना|AEC-3_U2_T2.2|30
