id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|आपदा जोखिम (Disaster Risk) की सबसे सटीक परिभाषा क्या है?|केवल खतरा होने की संभावना|खतरा, भेद्यता और अपर्याप्त क्षमता का संयुक्त प्रभाव|केवल नुकसान की मात्रा|आपदा के बाद का पुनर्निर्माण|खतरा, भेद्यता और अपर्याप्त क्षमता का संयुक्त प्रभाव|AEC-3_U2_T2.1|30
2|जोखिम (Risk) को किस गणितीय संबंध से दर्शाया जाता है?|क्षमता / (खतरा + भेद्यता)|खतरा $\\times$ भेद्यता / क्षमता|क्षमता $\\times$ भेद्यता / खतरा|खतरा $+$ भेद्यता $\\times$ क्षमता|खतरा $\\times$ भेद्यता / क्षमता|AEC-3_U2_T2.1|30
3|आपदा जोखिम की अवधारणा में 'खतरा' (Hazard) क्या दर्शाता है?|नुकसान के संभावित कारण की संभावना और तीव्रता|किसी समुदाय की कमजोरी|आपदा से निपटने की क्षमता|आपदा के बाद पुनर्प्राप्ति|नुकसान के संभावित कारण की संभावना और तीव्रता|AEC-3_U2_T2.1|30
4|यदि किसी क्षेत्र में खतरे (Hazard) की संभावना अधिक है, लेकिन असुरक्षा (Vulnerability) शून्य है, तो जोखिम क्या होगा?|उच्च|निम्न|शून्य|असीमित|शून्य|AEC-3_U2_T2.1|30
5|जोखिम विश्लेषण (Risk Analysis) का प्राथमिक उद्देश्य क्या है?|जोखिमों की पहचान करना, उनकी प्रकृति और उनके संभावित परिणामों को समझना|केवल नुकसान की मात्रा तय करना|केवल सरकार को रिपोर्ट देना|जोखिमों को पूरी तरह से समाप्त करना|जोखिमों की पहचान करना, उनकी प्रकृति और उनके संभावित परिणामों को समझना|AEC-3_U2_T2.1|30
6|जोखिम विश्लेषण की प्रक्रिया में कौन-सा चरण शामिल है?|केवल समाधान लागू करना|खतरे की पहचान, भेद्यता विश्लेषण और जोखिम का अनुमान|केवल गपशप करना|केवल पैसा खर्च करना|खतरे की पहचान, भेद्यता विश्लेषण और जोखिम का अनुमान|AEC-3_U2_T2.1|30
7|किसी खतरे के प्रभाव को कम करने वाले समुदाय के गुणों और संसाधनों को क्या कहते हैं?|भेद्यता (Vulnerability)|क्षमता (Capacity)|खतरा (Hazard)|जोखिम (Risk)|क्षमता (Capacity)|AEC-3_U2_T2.1|30
8|यदि खतरे का स्तर स्थिर रहे, लेकिन समुदाय की क्षमता (Capacity) बढ़ जाए, तो जोखिम पर क्या प्रभाव पड़ेगा?|जोखिम बढ़ेगा|जोखिम घटेगा|जोखिम स्थिर रहेगा|जोखिम दोगुना हो जाएगा|जोखिम घटेगा|AEC-3_U2_T2.1|30
9|जोखिम विश्लेषण में 'मात्रात्मक दृष्टिकोण' (Quantitative Approach) का क्या अर्थ है?|जोखिम का केवल वर्णन करना|जोखिम को संख्यात्मक मान (जैसे, पैसे या संभावना) देना|जोखिम को अनदेखा करना|केवल व्यक्तिगत राय लेना|जोखिम को संख्यात्मक मान (जैसे, पैसे या संभावना) देना|AEC-3_U2_T2.1|30
10|जोखिम और 'असुरक्षा' (Vulnerability) के बीच क्या संबंध है?|कोई संबंध नहीं|भेद्यता जितनी अधिक होगी, जोखिम उतना ही अधिक होगा|भेद्यता जितनी अधिक होगी, जोखिम उतना ही कम होगा|भेद्यता जोखिम को पूरी तरह से समाप्त कर देती है|भेद्यता जितनी अधिक होगी, जोखिम उतना ही अधिक होगा|AEC-3_U2_T2.1|30
11|जोखिम विश्लेषण में 'संभाव्यता' (Probability) का आकलन क्यों किया जाता है?|केवल समय बर्बाद करना|किसी खतरे के एक निश्चित समय सीमा में होने की संभावना को मापने के लिए|केवल परिणाम जानने के लिए|जोखिम को पूरी तरह से अनदेखा करना|किसी खतरे के एक निश्चित समय सीमा में होने की संभावना को मापने के लिए|AEC-3_U2_T2.1|30
12|भूस्खलन (Landslide) के लिए, पहाड़ी ढलानों पर बने कमज़ोर घर किस घटक का उदाहरण हैं?|खतरा (Hazard)|क्षमता (Capacity)|भेद्यता (Vulnerability)|जोखिम (Risk)|भेद्यता (Vulnerability)|AEC-3_U2_T2.1|30
