id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|आपदा जोखिम प्रबंधन (DRM) में अभियंताओं (Engineers) की प्राथमिक भूमिका क्या है?|केवल योजना बनाना|संरचनात्मक शमन (Mitigation) और आपदा प्रतिरोधी बुनियादी ढाँचे का डिज़ाइन|केवल गपशप करना|केवल राजनीतिक निर्णय|संरचनात्मक शमन (Mitigation) और आपदा प्रतिरोधी बुनियादी ढाँचे का डिज़ाइन|AEC-3_U3_T3.7|30
2|शमन (Mitigation) में सिविल इंजीनियरों (Civil Engineers) का मुख्य योगदान क्या है?|केवल खाना बनाना|भूकंप-प्रतिरोधी (Earthquake-resistant) और बाढ़-प्रतिरोधी भवनों का डिज़ाइन|केवल मनोरंजन|केवल लेखन|भूकंप-प्रतिरोधी (Earthquake-resistant) और बाढ़-प्रतिरोधी भवनों का डिज़ाइन|AEC-3_U3_T3.7|30
3|आपदा तैयारी (Preparedness) में इंजीनियरों की क्या भूमिका है?|केवल प्रतिक्रिया|निकासी मार्गों का मानचित्रण (Mapping) और जोखिम-मुक्त आश्रय स्थलों का स्थान निर्धारित करना|केवल पुनर्प्राप्ति|केवल पुनर्निर्माण|निकासी मार्गों का मानचित्रण (Mapping) और जोखिम-मुक्त आश्रय स्थलों का स्थान निर्धारित करना|AEC-3_U3_T3.7|30
4|प्रतिक्रिया (Response) चरण में इंजीनियरों का क्या कार्य है?|केवल आराम करना|क्षति मूल्यांकन (Damage Assessment) और अस्थायी जीवन रेखा सेवाओं की बहाली|केवल योजना बनाना|केवल पुनर्वास|क्षति मूल्यांकन (Damage Assessment) और अस्थायी जीवन रेखा सेवाओं की बहाली|AEC-3_U3_T3.7|30
5|इंजीनियरों द्वारा 'जोखिम आकलन' (Risk Assessment) में किस तकनीक का उपयोग किया जाता है?|केवल पेंटिंग|जीआईएस (GIS) और रिमोट सेंसिंग के माध्यम से भेद्यता (Vulnerability) का विश्लेषण|केवल गपशप करना|केवल सोना|जीआईएस (GIS) और रिमोट सेंसिंग के माध्यम से भेद्यता (Vulnerability) का विश्लेषण|AEC-3_U3_T3.7|30
6|भूकंप जोखिम न्यूनीकरण में इंजीनियरों द्वारा किस उपाय पर ज़ोर दिया जाता है?|केवल सजावट|भवन संहिता (Building Codes) का विकास और रेट्रोफिटिंग (Retrofitting)|केवल वनों की कटाई|केवल कमज़ोर निर्माण|भवन संहिता (Building Codes) का विकास और रेट्रोफिटिंग (Retrofitting)|AEC-3_U3_T3.7|30
7|बाढ़ प्रबंधन (Flood Management) में इंजीनियरों का योगदान क्या है?|केवल संगीत|बांधों, तटबंधों और जल निकासी प्रणालियों का डिज़ाइन|केवल लेखन|केवल खाना बनाना|बांधों, तटबंधों और जल निकासी प्रणालियों का डिज़ाइन|AEC-3_U3_T3.7|30
8|आपदा के बाद 'पुनर्प्राप्ति' (Recovery) चरण में इंजीनियरों का क्या कार्य है?|केवल प्रतिक्रिया|'पहले से बेहतर निर्माण' (Build Back Better) सिद्धांत का उपयोग करके स्थायी पुनर्निर्माण|केवल शमन|केवल तैयारी|'पहले से बेहतर निर्माण' (Build Back Better) सिद्धांत का उपयोग करके स्थायी पुनर्निर्माण|AEC-3_U3_T3.7|30
9|इंजीनियरों द्वारा 'संरचनात्मक स्वास्थ्य निगरानी' (Structural Health Monitoring) क्यों की जाती है?|केवल पैसा|भवन और पुलों की संभावित विफलता के संकेतों का पता लगाने के लिए|यह अनावश्यक है|केवल आराम करना|भवन और पुलों की संभावित विफलता के संकेतों का पता लगाने के लिए|AEC-3_U3_T3.7|30
10|इंजीनियरों द्वारा भूस्खलन जोखिम (Landslide Risk) को कैसे कम किया जाता है?|केवल पेड़ काटना|ढलान स्थिरीकरण (Slope Stabilization) और ड्रेनेज नियंत्रण संरचनाओं का निर्माण|केवल जंगल जलाना|केवल सजावट|ढलान स्थिरीकरण (Slope Stabilization) और ड्रेनेज नियंत्रण संरचनाओं का निर्माण|AEC-3_U3_T3.7|30
11|एक 'आपदा प्रतिरोधी बुनियादी ढाँचा' (Resilient Infrastructure) क्या सुनिश्चित करता है?|केवल कम लागत|आपदा के दौरान आवश्यक सेवाओं की निरंतरता|केवल जल्दी टूट जाना|केवल सजावट|आपदा के दौरान आवश्यक सेवाओं की निरंतरता|AEC-3_U3_T3.7|30
12|इंजीनियरों द्वारा 'जोखिम मानचित्रण' (Risk Mapping) का उपयोग किस लिए किया जाता है?|केवल कला|खतरे वाले क्षेत्रों की पहचान करने और विकास योजना में जोखिमों को एकीकृत करने के लिए|केवल गपशप करना|केवल मनोरंजन|खतरे वाले क्षेत्रों की पहचान करने और विकास योजना में जोखिमों को एकीकृत करने के लिए|AEC-3_U3_T3.7|30
