id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|आपदाओं के वर्गीकरण में सबसे मुख्य विभाजन क्या है?|आर्थिक और सामाजिक|प्राकृतिक और मानवजनित|तेज और धीमी|स्थानीय और वैश्विक|प्राकृतिक और मानवजनित|AEC-3_U1_T1.2|30
2|वह आपदा जिसका कारण पृथ्वी के आंतरिक भाग से उत्पन्न होता है, क्या कहलाती है?|मौसम विज्ञान संबंधी आपदा|भूवैज्ञानिक आपदा (Geological Disaster)|जल विज्ञान संबंधी आपदा|मानवजनित आपदा|भूवैज्ञानिक आपदा (Geological Disaster)|AEC-3_U1_T1.2|30
3|निम्न में से कौन सी आपदा 'जल विज्ञान संबंधी' (Hydrological) आपदा का उदाहरण है?|भूकंप|बाढ़ (Flood)|ज्वालामुखी|सूखा|बाढ़ (Flood)|AEC-3_U1_T1.2|30
4|वह आपदा जो मानव त्रुटि, तकनीकी विफलता या लापरवाही के कारण होती है?|प्राकृतिक आपदा|मानवजनित आपदा (Man-made Disaster)|मौसम संबंधी आपदा|जैव-भौतिक आपदा|मानवजनित आपदा (Man-made Disaster)|AEC-3_U1_T1.2|30
5|निम्न में से कौन-सा उदाहरण 'मानवजनित' आपदा का है?|सुनामी|औद्योगिक प्रदूषण (Industrial Pollution)|चक्रवात|भूस्खलन|औद्योगिक प्रदूषण (Industrial Pollution)|AEC-3_U1_T1.2|30
6|चक्रवात (Cyclone) और तूफान (Hurricane) किस प्रकार की आपदा के उदाहरण हैं?|भूवैज्ञानिक|मौसम विज्ञान संबंधी (Meteorological)|जैविक|रासायनिक|मौसम विज्ञान संबंधी (Meteorological)|AEC-3_U1_T1.2|30
7|भोपाल गैस त्रासदी (Bhopal Gas Tragedy) किस प्रकार की मानवजनित आपदा थी?|परमाणु|औद्योगिक प्रदूषण/रासायनिक आपदा|जैविक|युद्ध|औद्योगिक प्रदूषण/रासायनिक आपदा|AEC-3_U1_T1.2|30
8|सूखा (Drought) को आमतौर पर किस श्रेणी के अंतर्गत रखा जाता है?|तेज शुरुआत वाली आपदा|धीमी शुरुआत वाली आपदा (Slow Onset Disaster)|भूवैज्ञानिक आपदा|संरचनात्मक विफलता|धीमी शुरुआत वाली आपदा (Slow Onset Disaster)|AEC-3_U1_T1.2|30
9|निम्न में से कौन-सा आपदा का प्रकार 'जैविक आपदा' (Biological Disaster) का उदाहरण है?|रासायनिक रिसाव|महामारी/संक्रामक रोग (Pandemic/Epidemic)|रेल दुर्घटना|आग लगना|महामारी/संक्रामक रोग (Pandemic/Epidemic)|AEC-3_U1_T1.2|30
10|परमाणु ऊर्जा संयंत्र (Nuclear Power Plant) से विकिरण (Radiation) का रिसाव किस श्रेणी की आपदा है?|प्राकृतिक|मानवजनित (परमाणु आपदा)|जैविक|भूवैज्ञानिक|मानवजनित (परमाणु आपदा)|AEC-3_U1_T1.2|30
